,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
REPUBLIQUE ALGERIENNE DEMOCRATIQUE ET POPULAIRE  ,,,,,,,,,,,,,,,,,,,,
MINISTERE DE LA SANTE DE LA POPULATION ET DE LA REFORME HOSPITALIERE,,,,,,,,,,,,,,,,,,,,
DIRECTION GENERALE DE LA PHARMACIE ET DES EQUIPEMENTS DE SANTE,,,,,,,,,,,,,,,,,,,,
DIRECTION DES PRODUITS PHARMACEUTIQUES - SOUS DIRECTION DE L'ENREGISTREMENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOMENCLATURE NATIONALE DES PRODUITS PHARMACEUTIQUES A USAGE DE LA MEDECINE HUMAINE AU 31 DECEMBRE 2019  ( 3412 DE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL ,DATE D'ENREGISTREMENT  FINAL ,TYPE,STATUT,DUREE DE STABILITE,,
1,524/ 13 P 490/19, 13 P 490,Abacavir sulfate experime en abacavir,ABAVIR OS,SOL BUV ,20 MG/ML,B/1  FL DE 240 ML ET SEREINGUE FRADUEE DE 10 ML,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,6/26/2019,6/26/2019,Gé,I,24 MOIS,,
2,524/ 13 P 491/19, 13 P 491,Abacavir sulfate experime en abacavir,ABAVIR ,CP PELL,300 MG,B/1  PILULIER DE 60,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,6/26/2019,6/26/2019,Gé,I,24 MOIS,,
3,531/ 06 C 317 /17,06 C 317,Abciximab,CLOTINAB, SOLUTION INJ IV OU  POUR PERFUSION ,2MG/ML ( 10MG/5ML) ,B/01 FLACON DE 5 ML,Liste I,HOP,,,"ISU ABXIS CO, LTD",CORéE,11/5/2017,11/5/2017,Gé,I,36 MOIS,,
4,095/ 05 E 162 /13 ,05 E 162,ABIRATERONE ACETATE,ZYTIGA,COMPRIME,250MG,B/1FL. DE 120,Liste I,HOP,,,JANSSEN-CILAG INTERNATIONA N.V,BELGIQUE,6/4/2013,6/4/2013,Ré,I,,,
5,285/05 E 162/19,05 E 162,ABIRATERONE ACETATE,ABIRATERONE UPC,COMP,250MG,B/01 FL 120,LISTE I,HOP,,,UNION PHARMACEUTIQUE CONSTANTINOISE,ALGERIE,12/16/2019,12/16/2019,Gé,F,24MOIS,,
6,488/05 E 162/19,05 E 162,ABIRATERONE ACETATE,ABIRON,COMP,250MG,B/120,LISTE I,HOP,,,BDR PHARMACEUTICALS INTERNATIONAL P.V.T L.T.D,INDE,11/27/2019,11/27/2019,Gé,I,24MOIS,,
7,001/ 14 A 136 /14,14 A 136,ACARBOSE,GLYACARB,COMPRIME,50MG,B/30 ET B/90,Liste I,HOP,OFF,,HIKMA PHARMA ALGERIA SARL,ALGERIE,12/30/2014,12/30/2014,Gé,F,24 MOIS,,
8,035/ 14 A 136 /16,14 A 136,ACARBOSE,LARIMEL,COMPRIME,50MG,B/30,Liste I,HOP,OFF,,PHARMALLIANCE ,ALGERIE,1/17/2016,1/17/2016,Gé,F,24MOIS,,
9,149/ 14 A 136 /14,14 A 136,ACARBOSE,GLUCONOVA,COMPRIME,50MG,B/30,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,10/13/2014,10/13/2014,Gé,F,24 MOIS,,
10,149/14 A 341/17,14 A 341 ,ACARBOSE,GLUCONOVA,COMPRIME SECABLE ,100MG,B/30,Liste I,HOP ,OFF,,NOVAPHARM TRADING,ALGERIE,3/19/2017,3/19/2017,Gé,F,24 MOIS,,
11,231/ 14 A 136 /16,14 A 136,ACARBOSE,GLUCAR,COMPRIME SECABLE ,50MG,B/30,Liste I,HOP,OFF,,LABORATOIRE SALEM,ALGERIE,9/27/2016,9/27/2016,Gé,F,24 MOIS,,
